file,sha256,bytes,lines,owner,role,unsafe_sites,allocation_copy_sites,global_or_discovery_sites,reachability,contracts,lifetime,cost,review_status,disposition,evidence
RIVER_PARTICLE_EMITTER_PLAN.md,c17146d4469c19db7828c6d76550ae2cb6a767fc149a7ce98e2bbd2d7bd15baa,25345,562,RIVER_PARTICLE_EMITTER_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
ROCK_DECORATION_PLAN.md,edff1ca4f94b501fc2286317eb0725468cbf07d68ca2e675ee369d7bb05b07a2,38547,828,ROCK_DECORATION_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
RUNTIME_PROCEDURAL_MATERIAL_PARAMETERS_PLAN.md,7cc102be0d08df94dd3588232e452870c793e05def82f9e70144012231457740,33416,728,RUNTIME_PROCEDURAL_MATERIAL_PARAMETERS_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
TERRAIN_COLLIDER_PLAN.md,c27c2049491f19e657e363fe6fbad9b205842272e263704a9055a662e500c623,21195,496,TERRAIN_COLLIDER_PLAN.md,documentation,1,0,0,,,,,pending,investigate,
TERRAIN_SHADER_OPTIMIZATION_PLAN.md,bd88cf743459272f1bb7e625d6be27bbca77587cb1285b9fdc41537836e966e2,25895,559,TERRAIN_SHADER_OPTIMIZATION_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
THIRD_PARTY_NOTICES.md,d94e0a7651743cc9bac03f9074f7bc9f934b01231ddc62a7feab6e6a2272a6fa,742,16,THIRD_PARTY_NOTICES.md,documentation,0,0,0,,,,,pending,investigate,
TREE_TRUNK_FERNS_PLAN.md,ec05d1328df77cd632ed8d1d64b0ec1494858011bcf15f3a4af48d062adcd6f2,14771,334,TREE_TRUNK_FERNS_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
UNITY_LEVEL_ARCHITECTURE_PLAN.md,0bf759658ba9f85364db190b9edba74c6a8e08bdebd6a7a25807c594a47bed85,20447,341,UNITY_LEVEL_ARCHITECTURE_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
WATERFALL_AND_PLUNGE_POOL_PLAN.md,b600180a26aa9c43f94e6e4736824cb93ea49c6c3bfb653353a4af6440b574d2,18735,405,WATERFALL_AND_PLUNGE_POOL_PLAN.md,documentation,1,0,0,,,,,pending,investigate,
island-bevy/Cargo.lock,46a678eb82a0023164b94ea0d9d802158c43730916662926d1508eba9ad084a0,158143,6597,island-bevy,build/config,0,0,0,,,,,pending,investigate,
island-bevy/Cargo.toml,ec48b853575b9e6455a5ca5dc323c174bf65f661380ee456bd0b2a3bdae2dee5,1836,54,island-bevy,build/config,0,0,0,,,,,pending,investigate,
island-bevy/README.md,ebe66df17dcb529bbf777fbdd53e107235d29c52d4addd54fc45bb551a1f900f,65635,1136,island-bevy,documentation,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/bare-atoll.png,9a7d97df6f40b6b7dc1664d221dced490b8eff291433d9febafbe8e0554fb77b,19506,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/gullied-ridges.png,8e4478ca2182b182e97226b1d24405aa15e8a1f76020b7d3a6ee22421f462899,23810,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/lone-cone.png,4ce49038750212ada13c9f5d863701567d448f0c5cfe7f699dee13a55c1206d8,25313,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/river-country.png,a3d97ae1f0f471a9d60be36ee133c03d0ae815b4bef00e9a9364b7d10514ab08,29039,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/silted-shore.png,e1277560a9ceff6d137c4da3d455294924fbb7fc209c1ff29cf49018266280b6,27020,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/snowcap-massif.png,d9978d9f42cf3c1f4625385278d62561550bd68b84c82021e69ff04e03566aa4,30471,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/stone-tower.png,90b046972d9b147f4e8129867e680983f93af59856f008717372170f9427770d,20974,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/the-spires.png,0b47e094bcfa2e5a9ea857be0af6d5733af270950b74287e9c680a2294e898d7,22377,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/tidal-flats.png,14c7182530b591fbd0cd6902bb5c90f87d3ac858f8f9938d22f28de5d447bb2f,25433,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/assets/preset-thumbs/uncut-dome.png,984e1923ee379e21099741e30beba7680fdf3061c405379481ee2af3d5e34d84,25068,0,island-bevy,asset/metadata,0,0,0,,,,,pending,investigate,
island-bevy/src/app.rs,8d69ffe241775acd30c90c8e825aef0c7f6ea30d794ff9b6c1b2f736a45d5abd,118,5,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/app/camera.rs,0841f4dcb18d4d4169432afa83bdc6e40e4c3b526e970323deb6cba4141bd277,60771,1469,island-bevy,implementation,0,1,0,,,,,pending,investigate,
island-bevy/src/app/hud.rs,a7eba2d4d30dd4c80c64bc7b087496bbf0d507fecb535ad89ae69c460047e959,61832,1650,island-bevy,implementation,0,2,0,describe() covers initial soil depth using the native definition; existing complete-label test now passes. Broader HUD optimization remains a profiling task.,Preserve existing data/algorithm/serialized bindings beyond the described change.,Existing owners retained; test fixtures clean up their created resources.,No unmeasured whole-pipeline performance claim.,reviewed,focused change reviewed,IMPLEMENTATION.md and validation.json; review scope is the described change.
island-bevy/src/app/options.rs,029de4910f5e00ee5827811d2b20546920348e95e5e9a1cbed69441f3c9e8d5b,16565,458,island-bevy,implementation,0,1,0,,,,,pending,investigate,
island-bevy/src/app/presets.rs,48f0b773551b5130ebd844546c641343eb10cd3930e56e0a278c180ec9766972,11425,301,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/app/screenshot.rs,1f8f57fe916a6984164495921471392e7f31536fccfb1b5608742d323ec45fe0,22991,581,island-bevy,implementation,0,9,0,,,,,pending,investigate,
island-bevy/src/environment.rs,3319d6fa8afe3ce87767448b212a0a08fbdf86959656aaadf54d2a9f9647d528,142,6,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/environment/clouds.rs,ea12854fe2c32f455e9db5615794306d0609ad29ebdbfe954a579afc3f474eb1,21795,521,island-bevy,implementation,0,3,0,,,,,pending,investigate,
island-bevy/src/environment/lighting.rs,2ac58517f526ff2833890cacaf0aa2d2b22ef92715d0e42dedf13874c65a7f72,3659,94,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/environment/mist.rs,7e8d41b5836052491e4b9ae1841219be564f879b2f642af65b87d81a8ce3785f,20763,499,island-bevy,implementation,0,1,0,,,,,pending,investigate,
island-bevy/src/environment/spray.rs,fade2bbc1ce1ae3478874135b2ef3a0edbe128e9a796b9038b689a26bbaeb9b2,10919,245,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/environment/vegetation.rs,e5503c11becd5cb8f0b70583dba5f6fc1a7cf1e142ea7e7be0657efd4dc20d4c,31949,860,island-bevy,implementation,0,12,0,,,,,pending,investigate,
island-bevy/src/environment/weather.rs,b78cccce1b8d968ab0d67e07e0815f624c9f4e2325d59db6d8e988bc8a0b25ea,23883,657,island-bevy,implementation,0,2,0,,,,,pending,investigate,
island-bevy/src/hash.rs,aee09905fd455393b9b8d34c8380a52102f138f62771910b611109e1138d70b2,1321,41,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/island.rs,ae09a7dcf752ae9b49ddff6693bcc7070ba2f59b1b9bb0f145ad46e581e59690,95,4,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/island/cache.rs,cf777debbc25bc143cf8d929eb1334861801f28b04736ec9a3302d5deb2a89a9,28893,777,island-bevy,implementation,0,14,0,,,,,pending,investigate,
island-bevy/src/island/chunk.rs,63dde5ec2e0b9ae4f84f9af03984dc541577d1e104561e4782a84927a48aa757,18517,456,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/island/convert.rs,ed9a373bc4d49a462ec228fd00c829b7c8c6cec743ee6104f0a0684de34ae3e2,8015,207,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/island/island_gen.rs,9cd5d0a14d59fd1063b13376af4fecf20bd594f8b68c4f6cb9d8304e49f44911,60877,1506,island-bevy,implementation,0,2,0,,,,,pending,investigate,
island-bevy/src/main.rs,e2016b0a89e4f729fc6b8b79d2bac942bae632b77fb7680b2046b99f23225eb2,25069,631,island-bevy,implementation,0,1,0,,,,,pending,investigate,
island-bevy/src/math.rs,0c134358207b9ba37c45e410cd18d723c6dc9eed6372c8cfca61f7aa02e608a2,1701,53,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/render.rs,0b17a6e0761720e88af5eb6ff5194ce17d2c19a3962760c5e561484ef1a4c5f5,151,6,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/render/budget.rs,2e67535f6a9de178ab9bc896f1f51f5d51b0b52ff59b6603d64cfaae07a41220,5485,173,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/render/capture.rs,20c466a183de67f974daf92564657efa24fe299a8892cc1685c71d74a48aab92,11210,295,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/render/material_textures.rs,4793af0c30a3bf11dad7870aaf66404c83418c8dba3ecee015ee622786195bb8,6966,207,island-bevy,implementation,0,0,0,"Six terrain atlas slots, exhaustive ground-only iteration; native TreeBark is not an atlas slot; pixel occupancy test passed.",Preserve existing data/algorithm/serialized bindings beyond the described change.,Existing owners retained; test fixtures clean up their created resources.,No unmeasured whole-pipeline performance claim.,reviewed,focused change reviewed,IMPLEMENTATION.md and validation.json; review scope is the described change.
island-bevy/src/render/surface.rs,d565995e5fe0f9f4dd706b7493363829dd371f0d965c7ae7818a39d060cb746e,15040,375,island-bevy,implementation,0,3,0,,,,,pending,investigate,
island-bevy/src/render/terrain.rs,3f5530dd515779b362e0e00c509e757fa0f824a1c77e7e772ca1665e64696e67,11037,272,island-bevy,implementation,0,1,0,,,,,pending,investigate,
island-bevy/src/render/water.rs,e7233eec9694f38e3505f6662c12494e3104afd8de2bb08faa5298422398fcad,3037,85,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/shaders.rs,b775480f3b898314471ded6b1e518c702cc81c3e019216ec06556f4dcb8ea3e5,638,17,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/shaders/cloud.wgsl,f39a4c31f984db1d44518ae898a5bfac885db88339068ed05eb398abcd5ac2e2,8816,199,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/shaders/debug.wgsl,b1fb6e035dd3119edd33823b5d0b1e1ed056d7084c6efa6d740fad3a167c920e,1314,35,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/shaders/noise.wgsl,13643f73a31ccad2e36abd8c5352e493891c362f5699d919e0cad629df6d125d,6363,160,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/shaders/ocean.wgsl,8660b713a96b7dfd814ac61f71cf2b77992fd0324635709a87c8f90c650e5a88,16528,373,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/shaders/river.wgsl,c3b2c2c8c3524fc09c26b4490109d58d4061071dd0d6eb055756afcfeac12429,29669,675,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/shaders/rock.wgsl,5532b0cc710300b2f80d92a8893618507297d60439a3407acfffc60c044646cd,6780,169,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/shaders/spray.wgsl,84683fe6d3b2e1e5c7d27baf1e9dde39a825b39a472dd757adfcabc8b9442b03,7048,159,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-bevy/src/shaders/terrain.wgsl,1adfe4f0c31ce0cae6d5124eb0b9ddd3a135c13cdd5b177f756aeb5a9be6a99c,22355,444,island-bevy,implementation,0,0,0,,,,,pending,investigate,
island-material-studio/Cargo.lock,2081c25fe26115d62d242d3f7be416acab6d194aa099349ecef7f42788f6aab0,158294,6604,island-material-studio,build/config,0,0,0,,,,,pending,investigate,
island-material-studio/Cargo.toml,d0d00a2b9191b8a33691a0e4b378e3e78ec61b444e650b46c8455786de4fc811,825,36,island-material-studio,build/config,0,0,0,,,,,pending,investigate,
island-material-studio/README.md,4c756845371daa0124567374309c101d056b7777eeae275066f8d8e6e23c9915,3337,74,island-material-studio,documentation,0,0,0,,,,,pending,investigate,
island-material-studio/package-macos.sh,ccb9ea756ddf9cf6bc3b79728409a82a57ae52a972d2e83436729769e5058cfa,1681,45,island-material-studio,build/config,0,0,0,,,,,pending,investigate,
island-material-studio/src/app.rs,747581288ea24b254a4a620af1bb03ecfa47cf0869f7402f20091ccffaca49be,8906,275,island-material-studio,implementation,0,2,0,,,,,pending,investigate,
island-material-studio/src/bake.rs,f95495b9f8fcfb9046b6aeae3e03d305924463e8c8e2439da87971465ac5ac04,6140,198,island-material-studio,implementation,0,4,0,,,,,pending,investigate,
island-material-studio/src/document.rs,b93e5f99504a2e94f17571acfffdda8ac83224581cfc97ea9dfe8d4b5808b94d,36108,985,island-material-studio,implementation,0,20,0,,,,,pending,investigate,
island-material-studio/src/file_io.rs,05fd118b53035ea510e01846722feddcc5ca997391f8eaca2425beab9b864b0f,17790,495,island-material-studio,implementation,0,6,0,,,,,pending,investigate,
island-material-studio/src/history.rs,98d4e7f953898bece6469ef49028623593ce2e9544887ece17be4ca9fa809b61,8700,264,island-material-studio,implementation,0,5,0,,,,,pending,investigate,
island-material-studio/src/lib.rs,87c01d746cff6958e2f7b2ad473382dec6a1a825a4c27595364b1bab0996a0fb,292,14,island-material-studio,implementation,0,0,0,,,,,pending,investigate,
island-material-studio/src/main.rs,0cb0a6c638aa6a16dd978484afe9ce13164324ac339ac6aadb2480d9ff69e8a8,4963,151,island-material-studio,implementation,0,0,0,,,,,pending,investigate,
island-material-studio/src/preview.rs,b5c2d3a523462e97a4007cd4b23a966877ebf2fb25eac489df200bf599f7819c,15338,490,island-material-studio,implementation,0,6,0,,,,,pending,investigate,
island-material-studio/src/preview_images.rs,f9f0959ad6dcaedc55169617fbb1910c62be60fa89ec9c6f873e0b61f9dea06a,12555,395,island-material-studio,implementation,0,10,0,,,,,pending,investigate,
island-material-studio/src/preview_scene.rs,24f74446af2b39ce27670176817bdd8c47228a72d3182b9582c6bc39afa42577,9268,294,island-material-studio,implementation,0,11,0,,,,,pending,investigate,
island-material-studio/src/settings.rs,c454ca70290de90e8f43c3d392bf745e72a1d40ef5105c76393c3c9bf58e8d39,12023,342,island-material-studio,implementation,0,0,0,,,,,pending,investigate,
island-material-studio/src/ui.rs,47b6a98fc2de8aed51f230ea64789222bf7e7e29ad2b654361c48aa37404d84e,26085,807,island-material-studio,implementation,0,5,0,,,,,pending,investigate,
island-material-studio/src/ui/diagnostics.rs,ec9d2447e192726dd73cb813af655798a6bcf6180d6c2d7bbc1061d16bf6c88e,2115,62,island-material-studio,implementation,0,2,0,,,,,pending,investigate,
island-material-studio/src/ui/inspector.rs,327d9b854d306f63d563c176cf3f6438754ea7f42eacd2c6ff9402ac4da52ec1,33899,980,island-material-studio,implementation,0,4,0,,,,,pending,investigate,
island-material-studio/src/ui/layer_stack.rs,743b262021a34d515ca9133e1f84ed4545d190c93ce8ac5a1495a7f2078e6738,7938,220,island-material-studio,implementation,0,9,0,,,,,pending,investigate,
island-material-studio/src/ui/preview.rs,cb6dccee3c5f85b2e48e09ee95ef33cb495de365add8966f9d96c62a54188632,12995,369,island-material-studio,implementation,0,1,0,,,,,pending,investigate,
island-material-studio/src/ui/toolbar.rs,9afaaf14c895c16e2c584c6f37e6b4906585fc8769d2606cfd4594aa0f6cf1cc,6462,198,island-material-studio,implementation,0,0,0,,,,,pending,investigate,
island-rs/CLUSTERED_FOLIAGE_PLAN.md,e18c3982e09752db9be076f32f68c7e6bf394b83e443655eabc5a78b7c31282f,13745,267,island-rs,documentation,0,0,0,,,,,pending,investigate,
island-rs/COASTAL_EROSION_PLAN.md,1baccb8938dcb336df2cc9ad4e2a535862f8c6cf3b050c18b3557a23f2f92f67,37316,980,island-rs,documentation,1,0,0,,,,,pending,investigate,
island-rs/Cargo.lock,84168fe0c51ba397df70c92f46ffedd62881db9868ba5e924b79380b896dacbd,39689,1564,island-rs,build/config,0,0,0,,,,,pending,investigate,
island-rs/Cargo.toml,ad7e7c7ccf9318ad7240d97b09ad10460cd4c645938bf60c17eab8b3d9202b36,1251,63,island-rs,build/config,0,0,0,,,,,pending,investigate,
island-rs/FALLEN_LOGS.md,f451278e9c42ff2e1c866ac6c47da9cd44f7038aec2faad01107286c06c96fc3,3347,28,island-rs,documentation,0,0,0,,,,,pending,investigate,
island-rs/FOREST_PLACEMENT_AND_LOD_PLAN.md,0a816f43c027d78bbf0404c65d33cadb95972883f6f4d456b7591f601d1682d0,40720,985,island-rs,documentation,0,0,0,,,,,pending,investigate,
island-rs/HYDRAULIC_HARDNESS_AND_DEPOSIT_PLAN.md,b9fba5f8af0479fccc2d904cd0df506acfb452cab024c9c31dc005192378d1e0,32447,763,island-rs,documentation,0,0,0,,,,,pending,investigate,
island-rs/PERFORMANCE_OPTIMISATION_PLAN.md,f0643e60b2414335608ce024cb524f9a1e14958b533f0a3a88ad12a112a8848c,31458,735,island-rs,documentation,3,0,0,,,,,pending,investigate,
island-rs/PROCEDURAL_TEXTURE_BAKER.md,dca7bb47865e0587957954042f4bb0d5100e64fc67ff84b2745bee26460711a3,5718,146,island-rs,documentation,0,0,0,,,,,pending,investigate,
island-rs/PROCEDURAL_TEXTURE_GENERATION_PLAN.md,249ec5813a2e29a4ec9577712c6f97a99be46fe54577ef04c4fa48d9a63253ea,34741,893,island-rs,documentation,1,0,0,,,,,pending,investigate,
island-rs/PROCEDURAL_TREE_AND_FOREST_PLAN.md,027431331b46cf4ac74c53028054ccb7396bd3df975992d006bfaee2539a73c5,20333,408,island-rs,documentation,0,0,0,,,,,pending,investigate,
island-rs/README.md,4a7d3d62858d5c573209d34d726b8b808e685d3a42d5d163a634c7add7e15960,15096,279,island-rs,documentation,0,0,0,,,,,pending,investigate,
island-rs/SEA_PLANE_CONSTRAINED_TOPOLOGY_PLAN.md,a4ce9f6c07b7e7b3f22c4214d0d6a3f957b4687a225062eefd6ee4e7cb555b8e,11532,263,island-rs,documentation,1,0,0,,,,,pending,investigate,
island-rs/TERRAIN_MATERIAL_ATTRIBUTES_PLAN.md,8c3acfa54a25b65edc5494875b3822914436415de6e6d5341bdfcda15e0eec6c,2985,65,island-rs,documentation,0,0,0,,,,,pending,investigate,
island-rs/build.rs,35cbca0fcb54c39cccd24de500e6fcae9b8cfbd530f0509a7e139638f550414e,259,6,island-rs,implementation,0,0,0,Native entry point static constructors and Rust exported scalar ABI methods.,C ABI version 1; checked representative sizes and mixed-padding offsets before records cross FFI. macOS relocatable install ID.,ABI metadata owns no exported allocations; array validators borrow pointers.,See measurement/evidence; no unmeasured speed claim.,reviewed,harden boundary,NativeBinaryMatchesManagedLayouts; Rust ABI test; dylib symbols and player load.
island-rs/deploy-unity.sh,04610367680dfd2a69d318d154162e0c2a6f217c6d12b8c2e662df5d423ed3c4,1568,59,island-rs,build/config,0,0,0,Documented local commands and CI; consumers use packed artifacts.,No publication; clean consumer excludes demo ProjectSettings; pin platform/CPU; check native hash and package-owned GUIDs.,Scratch projects retained outside checkout; atomic native replacement; no host asset overwrite.,See measurement/evidence; no unmeasured speed claim.,reviewed,reproducible packaging/validation,Package check; tarball consumer import/build/run; script syntax; native load.
island-rs/src/bin/cave_probe.rs,6f77a5e67deff876e0589825277e8f4f4d5e5d828712ebbfaacdf600e204b10d,7827,199,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/bin/generation_bench.rs,0d7c5df2ffb9c535de8b8dadcaa3cce6bc70debfdf7c330b9839f51d2c8d675d,3914,117,island-rs,implementation,0,0,0,CLI -> one small warmup -> serial seed/repetition Island::generate calls.,CPU default options except seed points; CSV elapsed excludes geometry hashing; stable hash includes positions and indices. Optional complete snapshots are saved after elapsed timing; separate build/size directories avoid filename collisions.,One island per iteration; no raster/export calls; allocator retention may outlive island.,Generation timing only; hashing and destruction occur outside elapsed duration.,reviewed,retain deterministic benchmark,Six before/after complete snapshot comparisons and three alternating timing pairs; native tests and Clippy.
island-rs/src/bin/texture_baker.rs,01fa0bb2b4440b245f9993d6d1865ebe21c9647367098dedee9a36c355247447,31472,924,island-rs,implementation,0,5,0,,,,,pending,investigate,
island-rs/src/caves.rs,d3cad3b2793227eada5a7438dafebbef5daa0490f259264f1bf3148ecd96059d,12130,334,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/clearance.rs,7a3466205059c1a369396621569f6f4044b64a03a961fbd8706512ba793cfdb3,8155,210,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/field.rs,9e35e5c9c2d5df7337b9997477d25f09f2a21db1d1880de97a7dc8e7c1f73597,499,16,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/network.rs,5d6dbdb89d496ca8a0785f40837a344eb2e12e7c623bd095b9f24e92ee86ab4d,12058,315,island-rs,implementation,0,1,0,,,,,pending,investigate,
island-rs/src/caves/options.rs,761bac9f8ba6399178f4cbe5677716593b4192b380fe2f11fbcf103dd877e07c,5220,164,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/orientation.rs,19b8384879504c1142c4be54a89992da06090fcf457cad6a123b4765403696b0,5558,142,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/passage.rs,55cde44af8fb91f8d1e1ffe76d76d47f30c1cac0cef7546c3345fd9c8a7ca621,4836,120,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/placement.rs,e4b24694072a09e727ee35e2bd7bbd5328c0b814a467ca7e640088a9a4af732c,12291,339,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/portal.rs,344ffed76e01da4a29b2f5451f796e735dd77e34fdc04e2153e90fa811f0d463,29865,784,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/smoothing.rs,039524a3d2f18d54ed74ba278a3818b8122c397f090cf26e2be5d697f4213d22,7409,196,island-rs,implementation,0,3,0,,,,,pending,investigate,
island-rs/src/caves/stitch.rs,614084e1e139c807cec41574afd1c1b1d528225a80dd5c1071d6ee89745673b6,13976,378,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/stones.rs,8049de9a41c03f8e1617c23595d7b1d41ae670b715d2d43201d5666ddfa31af3,7671,194,island-rs,implementation,0,4,0,,,,,pending,investigate,
island-rs/src/caves/surface.rs,6fe1c5e6569956d29865a07101df440901eeedbf619efc7195a5dce4369ab9d7,3389,95,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/caves/tests.rs,9186b3d528ff120ad08f90af85461e7806eb76bab7cda6437aae1836b153de6b,29383,870,island-rs,test,0,24,0,,,,,pending,investigate,
island-rs/src/caves/volume.rs,f6532c8c82671b1312983ce53bdc33d3fea620625df312117296f486fe750811,14311,342,island-rs,implementation,0,1,0,,,,,pending,investigate,
island-rs/src/caves/wandering.rs,c6bb3ad7c346ec3918fac4f09a8de9c3c99cf73a8532691ef9dcc2dd85f6e5d0,9466,244,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/clouds.rs,279fc4038cd0befe9a284a532620f2cfe40a4b556d89972a5c7dd88e7abc678b,6895,220,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/clustered_foliage.rs,4b53ee4f84ebb3439b3d4abfc83184a52b6e374dbc5f544512672c4faa93259d,55818,1534,island-rs,implementation,0,9,0,,,,,pending,investigate,
island-rs/src/ferns.rs,74523472a79b4d056e7941e8f8d9b04dc14f6a3d2f70f42b578f87b0376f90a6,19334,541,island-rs,implementation,0,0,0,,,,,pending,investigate,
island-rs/src/ffi.rs,726b9d3c66a1a593a9d092da8d8d793881f92adcba99017fa32dbeaa47de4943,111171,3148,island-rs,implementation,287,5,0,,,,,pending,investigate,
island-rs/src/ffi/abi.rs,00a2f27bf53e3d7a50fb3bb689c2334b692138da72c1cc9f12ef98b922c9441f,2080,60,island-rs,implementation,3,0,0,Native entry point static constructors and Rust exported scalar ABI methods.,C ABI version 1; checked representative sizes and mixed-padding offsets before records cross FFI. macOS relocatable install ID.,ABI metadata owns no exported allocations; array validators borrow pointers.,See measurement/evidence; no unmeasured speed claim.,reviewed,harden boundary,NativeBinaryMatchesManagedLayouts; Rust ABI test; dylib symbols and player load.
island-rs/src/ffi/caves.rs,08a7987f39d0118c7d8e841e1e01aeb3678254a30d3ecbe1239e1d70a2710e53,11441,357,island-rs,implementation,42,1,0,,,,,pending,investigate,
